params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-62.47463262,61.97005912,0.923038868,77.44701119,128.3932407,62.47463262,7.9041,7.8721,77.45%,0.923
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-62.49134191,62.20765071,0.922743801,77.28030483,172.0021174,62.49134191,7.9051,7.8872,77.28%,0.9227
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-62.50808891,61.87371068,0.923158524,77.58990236,85.23480773,62.50808891,7.9062,7.866,77.59%,0.9232
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-62.59691247,61.95614523,0.923056148,77.63753275,86.81825781,62.59691247,7.9118,7.8712,77.64%,0.9231
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-62.82355246,60.36327489,0.925034347,77.99476066,318.8763106,62.82355246,7.9261,7.7694,77.99%,0.925
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-62.83142075,61.23395343,0.923953044,77.61371755,42.73267817,62.83142075,7.9266,7.8252,77.61%,0.924
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-62.83637765,60.26471386,0.925156751,77.99476066,255.3264258,62.83637765,7.9269,7.763,77.99%,0.9252
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-62.84538126,60.380507,0.925012946,78.06620624,320.5948431,62.84538126,7.9275,7.7705,78.07%,0.925
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-62.85232509,60.26747964,0.925153316,78.04239105,254.2583134,62.85232509,7.9279,7.7632,78.04%,0.9252
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-62.86779215,60.19228794,0.925246697,77.78042391,191.2571661,62.86779215,7.9289,7.7584,77.78%,0.9252
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-62.88060926,60.20683693,0.925228629,77.8280543,190.3680012,62.88060926,7.9297,7.7593,77.83%,0.9252
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-62.92419413,60.17085664,0.925273313,78.16146702,127.7780952,62.92419413,7.9325,7.757,78.16%,0.9253
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-62.93890108,60.1883598,0.925251576,78.11383663,126.694,62.93890108,7.9334,7.7581,78.11%,0.9253
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-62.97527378,61.31718396,0.923849679,77.51845678,43.42361259,62.97527378,7.9357,7.8305,77.52%,0.9238
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-63.103967,59.32129585,0.92632839,78.11383663,63.20983243,63.103967,7.9438,7.702,78.11%,0.9263
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-63.12004247,59.30035844,0.926354392,78.06620624,63.45533919,63.12004247,7.9448,7.7007,78.07%,0.9264
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-64.18305329,62.26017376,0.922678573,76.94689212,207.0362692,64.18305329,8.0114,7.8905,76.95%,0.9227
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",-64.19012533,62.23681722,0.922707579,76.92307692,208.718117,64.19012533,8.0119,7.889,76.92%,0.9227
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-64.20504575,62.08350386,0.92289798,76.80400095,124.212678,64.20504575,8.0128,7.8793,76.80%,0.9229
"{'criterion': 'friedman_mse', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-64.207834,62.11930947,0.922853513,76.87544653,166.7333732,64.207834,8.013,7.8816,76.88%,0.9229
"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",-64.20797161,62.167743,0.922793363,76.92307692,165.8753536,64.20797161,8.013,7.8847,76.92%,0.9228
