formula,Tc,type
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba3.88Cu3.91O3.54Y4.44,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39Er7.65O1.31,92.0,original
Bi3.16Ca1.05Cu0.76O1.65Sr3.22,92.0,original
Ba1.72Cu1.39O1.31,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Ba1.72Cu1.36O1.28Y1.92,92.0,original
Ba1.72Br9.95Cu1.39O1.09Y2.04,92.0,original
Bi0.34Ca0.43Cu0.76Hg4.82O1.31Sr3.22Y0.85,92.0,original
Ba1.72Ca1.05Cu0.76Hg7.24O1.06,92.0,original
Ba1.72Cu1.39H5.04O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba0.64Cu1.39O1.28Sr1.46Y2.04,92.0,original
Ba1.72Ca2.29Cu1.39O1.87Sr1.46Tl4.41,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.27Y2.04,92.0,original
Ca0.43Cu0.76O1.28Sr3.22Tl4.41Y0.85,92.0,original
Ca0.3Cu0.76O1.29Sr3.22Tl4.41Y1.09,92.0,original
Ca0.18Cu0.76O1.3Sr3.22Tl4.41Y1.32,92.0,original
Ba1.72Cu0.13Hg7.24O0.5,92.0,original
Ba1.72Cu0.13Hg7.24O0.5,92.0,original
Ba1.72Cu1.39O1.31Pr0.75,92.0,original
Ba1.72Cu1.39O1.31Pr0.75,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Ba1.72Cu1.39O0.48Y2.04,92.0,original
Bi2.82Ca1.05Cu0.76O1.59Pb0.53Sr3.22,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.04Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39Er7.65O1.31,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Ca1.05Cu0.76Hg7.24O1.06,92.0,original
Ba1.72Cu1.39O1.26Y2.04,92.0,original
Ca0.61Cu0.76O1.31Pb1.51Sr3.22Tl2.14Y0.49,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39Eu6.81O1.17,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.2Y2.04,92.0,original
Ba1.72Cu1.39O1.06Y2.04,0.0,synthetic
Ba1.72Cu1.39O1.2Y2.04,92.0,original
Ba1.72Cu1.39O1.2Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.28Y2.04,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Bi3.16Ca1.05Cu0.76O1.66Sr3.22,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.36O1.32Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.36O1.32Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39Gd8.95O1.25,92.0,original
Ba1.72Cu1.39O1.29Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ca0.8Cu0.76Li2.1O1.31Sr3.22Tl3.05,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.17Rb0.78Y1.68,92.0,original
Ba1.61Cu1.39O1.33Y2.04,92.0,original
Ba1.57Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.38O1.29Y2.04,92.0,original
Ba1.72Cu1.36O1.29Y2.04,92.0,original
Ba1.72Cu1.39La2.46O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.31Y2.04,92.0,original
Ba1.72Ca0.92Cu0.76Gd0.8O1.31Tl4.41,92.0,original
Ba1.68Cu2.02O1.59Y1.77,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39Ho10.97O1.3,92.0,original
Ba1.68Cu1.39O1.31Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Ba1.72Cu1.39O1.3Y2.04,92.0,original
Bi3.16Ca0.8Cu0.76Dy2.02O1.66Sr3.22,92.0,original
Ba1.72Cd4.69Cu1.39O1.31Y1.09,92.0,original
