elements,formula,Predicted_Tc
Ga-Bi-Ag,Ga0.169Bi0.670Ag0.161,5.127059103
Bi-In-Cu,Bi0.617In0.329Cu0.054,5.122388611
Ga-Sb-Cu,Ga0.870Sb0.099Cu0.031,5.113899423
Bi-Sb,Bi0.897Sb0.103,5.112220833
Bi-Sb,Bi0.902Sb0.098,5.109131944
Ga-Sn-Sb,Ga0.267Sn0.628Sb0.105,5.109116068
Bi-Sb,Bi0.895Sb0.105,5.108823611
Ga-Sn-Sb,Ga0.269Sn0.626Sb0.105,5.107957735
Bi-Sb,Bi0.893Sb0.107,5.107818056
Bi-In-Sb,Bi0.413In0.579Sb0.008,5.107068889
Bi-In-Cu,Bi0.718In0.211Cu0.071,5.106814722
Ga-Sn-Zn,Ga0.700Sn0.191Zn0.109,5.101751833
Ga-Sn-Sb,Ga0.703Sn0.248Sb0.049,5.09409047
Ga-Sn-Sb,Ga0.683Sn0.242Sb0.075,5.093588547
Ga-Sn-Zn,Ga0.697Sn0.154Zn0.149,5.091154846
Bi-In-Sb,Bi0.397In0.599Sb0.004,5.08811
Ga-Sn-Sb,Ga0.278Sn0.610Sb0.112,5.079426218
Bi-Sb-Cu,Bi0.876Sb0.056Cu0.068,5.07353
Sn-Sb-Cu,Sn0.634Sb0.280Cu0.086,5.071120278
Bi-In-Sb,Bi0.405In0.567Sb0.028,5.070301667
Bi-Zn-Cu,Bi0.853Zn0.100Cu0.047,5.066399167
Ga-Bi-Ag,Ga0.418Bi0.405Ag0.177,5.061681795
Bi-In-Ag,Bi0.560In0.415Ag0.025,5.061077778
Ga-Sn-Ag,Ga0.705Sn0.292Ag0.003,5.05487906
