elements,formula,Predicted_Tc
Ga-Bi-Cu,Ga0.054Bi0.932Cu0.014,5.924924209
Ga-Bi-Cu,Ga0.114Bi0.875Cu0.011,5.923410513
Ga-Sn-Sb,Ga0.820Sn0.031Sb0.149,5.921289701
Ga-Sn-Sb,Ga0.792Sn0.106Sb0.102,5.913128953
Ga-Bi-Sb,Ga0.287Bi0.709Sb0.004,5.906518632
Ga-Sn-Sb,Ga0.802Sn0.001Sb0.197,5.905060876
Ga-Sb,Ga0.802Sb0.198,5.904511645
Ga-Sb,Ga0.803Sb0.197,5.894959338
Ga-Sb,Ga0.803Sb0.197,5.894959338
Ga-Sb,Ga0.803Sb0.197,5.894959338
Ga-Zn-Sb,Ga0.821Zn0.092Sb0.087,5.889382607
Ga-Sn-Sb,Ga0.823Sn0.059Sb0.118,5.888663312
Ga-Sn,Ga0.864Sn0.136,5.884301026
Ga-Sn,Ga0.863Sn0.137,5.884301026
Ga-Sn,Ga0.864Sn0.136,5.884301026
Ga-Sn,Ga0.864Sn0.136,5.884301026
Ga-Sn,Ga0.863Sn0.137,5.884301026
Ga-Sb,Ga0.805Sb0.195,5.883474466
Ga-Sb,Ga0.805Sb0.195,5.883474466
Ga-Bi-Cu,Ga0.116Bi0.868Cu0.016,5.883343846
Ga-Bi-Sb,Ga0.282Bi0.707Sb0.011,5.876583291
Ga-Sn-Sb,Ga0.819Sn0.057Sb0.124,5.875069466
Ga-Sn,Ga0.801Sn0.199,5.874707286
Ga-Sn,Ga0.865Sn0.135,5.873241154
Ga-Sn,Ga0.865Sn0.135,5.873241154
Ga-Sn,Ga0.865Sn0.135,5.873241154
Ga-Sn,Ga0.870Sn0.130,5.872629274
Bi-In-Ag,Bi0.723In0.277,5.8721825
Ga-Bi-Sb,Ga0.208Bi0.768Sb0.024,5.870318953
Ga-Zn-Sb,Ga0.846Zn0.081Sb0.073,5.86997797
Ga-Bi-Cu,Ga0.095Bi0.884Cu0.021,5.869102821
Ga-Sb-Cu,Ga0.804Sb0.195Cu0.001,5.867882799
Ga-Sn-Sb,Ga0.822Sn0.071Sb0.107,5.864879594
Ga-In-Sb,Ga0.804In0.011Sb0.185,5.86313562
Ga-Zn-Sb,Ga0.842Zn0.084Sb0.074,5.854879509
Bi-In-Sb,Bi0.864In0.117Sb0.019,5.853171389
Ga-Bi-Sb,Ga0.130Bi0.844Sb0.026,5.846041346
Bi-Ag-Sb,Bi0.967Ag0.014Sb0.019,5.8453375
Bi-In-Ag,Bi0.779In0.172Ag0.049,5.845152778
Ga-In-Sb,Ga0.818In0.009Sb0.173,5.840105705
Bi-Zn-Ag,Bi0.938Zn0.060Ag0.002,5.837213056
Ga-Zn-Sb,Ga0.782Zn0.066Sb0.152,5.836237051
Ga-Bi-Cu,Ga0.120Bi0.821Cu0.059,5.835611282
Bi-Zn-Sb,Bi0.940Zn0.056Sb0.004,5.833579167
Ga-Bi-Cu,Ga0.111Bi0.868Cu0.021,5.832915449
Ga-Zn-Sb,Ga0.790Zn0.043Sb0.167,5.831519316
Bi-In-Sb,Bi0.744In0.252Sb0.004,5.8262325
Bi-In-Ag,Bi0.775In0.182Ag0.043,5.824838056
Ga-Bi-Cu,Ga0.299Bi0.695Cu0.006,5.824329466
Bi-In-Cu,Bi0.723In0.275Cu0.002,5.822928333
Ga-Ag-Sb,Ga0.796Ag0.008Sb0.196,5.820515662
Ga-Zn-Sb,Ga0.847Zn0.063Sb0.090,5.819060876
